question_text,option_a,option_b,option_c,option_d,correct_option,explanation
"بدأ سعيد ممارسة الرياضة في الساعة 4:20 عصرًا، وانتهى في الساعة 5:05 عصرًا. كم استغرقت ممارسته الرياضة؟","35 دقيقة","40 دقيقة","45 دقيقة","50 دقيقة",C,"من 4:20 إلى 5:00 تمر 40 دقيقة، ثم من 5:00 إلى 5:05 تمر 5 دقائق، والمجموع = 40+5 = 45 دقيقة."
"اشترى أبو خالد من المكتبة: قلمًا بـ3 ريالات، ومسطرة بـ2 ريال، ودفترًا بـ7 ريالات. كم ريالًا دفع أبو خالد بالإجمال؟","10 ريالات","11 ريالًا","12 ريالًا","13 ريالًا",C,"مجموع الأسعار = 3 + 2 + 7 = 12 ريالًا."
"على خط أعداد يمتد من 0 إلى 20، وُضعت نقطة عند العدد الذي يقع في منتصف المسافة بين 8 و16 تمامًا. ما هذا العدد؟","10","11","12","14",C,"منتصف المسافة بين عددين يُحسب بجمعهما وقسمة الناتج على 2: (8+16) ÷ 2 = 12."
"أي العلامات التالية تجعل المقارنة بين العددين 428 و482 صحيحة: 428 ___ 482؟","العدد 428 أصغر من 482 (<)","العدد 428 أكبر من 482 (>)","العددان متساويان (=)","لا يمكن المقارنة بينهما",A,"عند مقارنة العددين نبدأ من رقم المئات فنجد أنه متساوٍ (4)، ثم ننتقل لرقم العشرات: 2 في العدد الأول أصغر من 8 في العدد الثاني، لذلك 428 أصغر من 482."
"أي الأعداد التالية عدد فردي؟","24","37","50","68",B,"العدد الفردي لا يقبل القسمة على 2 دون باقٍ. العدد 37 ينتهي بالرقم 7 (فردي)، بينما بقية الأعداد تنتهي بأرقام زوجية (4، 0، 8)."
"ما ناتج تقريب العدد 367 إلى أقرب عشرة؟","360","370","300","400",B,"رقم الآحاد في العدد 367 هو 7، وهو أكبر من أو يساوي 5، لذلك نقرّب العدد لأعلى فيصبح 370."
"زرعت مزرعة أشجار نخيل في 6 صفوف، وفي كل صف 8 أشجار. كم شجرة نخيل زُرعت بالإجمال؟","42","48","54","56",B,"عدد الأشجار الكلي = عدد الصفوف × عدد الأشجار في كل صف = 6 × 8 = 48 شجرة."
"لدى المعلمة 42 قلم تلوين، تريد توزيعها بالتساوي على 7 طالبات. كم قلمًا ستأخذ كل طالبة؟","5","6","7","8",B,"عدد الأقلام لكل طالبة = 42 ÷ 7 = 6 أقلام."
"مستطيل طوله 9 سم وعرضه 5 سم، ما محيط هذا المستطيل؟","14 سم","24 سم","28 سم","45 سم",C,"محيط المستطيل = 2 × (الطول + العرض) = 2 × (9 + 5) = 2 × 14 = 28 سم."
"بُني مجسّم من مكعبات متساوية الحجم على شكل طبقتين، كل طبقة منهما تتكون من صف واحد طوله 4 مكعبات. كم مكعبًا استُخدم لبناء هذا المجسّم بالكامل؟","4","6","8","10",C,"كل طبقة تتكون من 4 مكعبات، وعدد الطبقات 2، فيكون العدد الكلي للمكعبات = 4 + 4 = 8 مكعبات."
"لاحظ التسلسل العددي التالي: 5، 10، 15، ___، 25. ما العدد المفقود؟","18","19","20","22",C,"يزيد هذا التسلسل بمقدار 5 في كل مرة (عد تصاعدي بالخمسات)، فالعدد الذي يسبق 25 مباشرة هو 20."
"قسّمت هدى دائرة إلى 4 أجزاء متساوية، ولوّنت 3 أجزاء منها باللون الأحمر. أي كسر يمثل الجزء الملوّن من الدائرة؟","1/4","2/4","3/4","4/4",C,"عدد الأجزاء الملوّنة 3 من أصل 4 أجزاء متساوية، لذلك الكسر الذي يمثل الجزء الملوّن هو 3/4."
"يوضح الجدول التالي عدد الكتب التي قرأها 3 طلاب خلال شهر: أحمد قرأ 6 كتب، سلمان قرأ 9 كتب، فيصل قرأ 5 كتب. كم كتابًا قرأ الطلاب الثلاثة معًا؟","18","19","20","21",C,"مجموع الكتب التي قرأها الطلاب الثلاثة = 6 + 9 + 5 = 20 كتابًا."
"طول ممر المدرسة 4 أمتار. كم يعادل ذلك بالسنتيمتر، علمًا بأن كل متر واحد = 100 سنتيمتر؟","40 سم","140 سم","400 سم","4000 سم",C,"4 أمتار × 100 سنتيمتر لكل متر = 400 سنتيمتر."
